Date,y80,y70-79,y60-69,y50-59,y40-49,y30-39,y20-29,y10-19,y0-9,,
2020-03-28,16,29,23,6,4,0,1,0,0,,
2020-03-29,14,29,24,6,4,0,1,0,0,,
2020-03-30,13,28,22,6,4,0,1,0,0,,
2020-03-31,15,29,20,6,3,0,1,0,0,,
2020-04-01,18,28,19,8,2,0,1,0,0,,
2020-04-02,19,29,19,8,1,1,1,0,0,,
2020-04-03,20,29,20,8,1,1,1,0,0,,
2020-04-04,19,30,21,7,1,1,1,0,0,,
2020-04-05,19,29,21,9,1,1,1,0,0,,
2020-04-06,19,29,20,9,1,1,1,0,0,,
2020-04-07,19,24,21,9,1,1,2,0,0,,
2020-04-08,21,25,20,10,1,1,2,0,0,,
2020-04-09,19,28,20,8,2,1,2,0,0,,
2020-04-10,14,25,20,7,2,1,2,0,0,,
2020-04-11,15,24,17,7,2,0,2,0,0,,
2020-04-12,14,26,16,6,3,0,2,0,0,,
2020-04-13,14,25,16,6,3,0,2,0,0,,
2020-04-14,10,30,15,6,3,0,2,0,0,,
2020-04-15,10,31,13,6,3,0,2,0,0,,
2020-04-16,9,30,13,4,3,0,2,0,0,,
2020-04-17,9,31,13,4,2,0,2,0,0,,
2020-04-18,10,30,13,4,2,0,2,0,0,,
2020-04-19,10,29,12,2,2,0,2,0,0,,
2020-04-20,9,29,12,2,2,0,2,0,0,,
2020-04-21,9,27,14,2,2,0,2,0,0,,
2020-04-22,9,22,14,3,2,0,2,0,0,,
2020-04-23,9,20,13,3,2,0,2,0,0,,
2020-04-24,7,18,12,3,2,0,0,0,0,,
2020-04-25,9,19,12,4,2,0,0,0,0,,
2020-04-26,9,17,10,4,2,0,0,0,0,,
2020-04-27,9,17,10,4,2,0,0,0,0,,
2020-04-28,10,14,7,5,2,0,0,0,0,,
2020-04-29,9,16,6,4,2,0,0,0,0,,
2020-04-30,9,15,6,4,2,0,0,0,0,,
2020-05-01,9,14,5,3,2,0,0,0,0,,
2020-05-02,7,13,5,2,2,0,0,0,0,,
2020-05-03,7,13,5,2,2,0,0,0,0,,
2020-05-04,7,12,4,2,2,0,0,0,0,,
2020-05-05,8,11,4,2,2,0,0,0,0,,
2020-05-06,8,11,4,2,2,0,0,0,0,,
2020-05-07,8,11,3,1,2,0,0,0,0,,
2020-05-08,8,10,3,1,2,0,0,0,0,,
2020-05-09,9,8,3,1,2,0,0,0,0,,
2020-05-10,9,8,3,1,2,0,0,0,0,,
2020-05-11,9,8,3,1,2,0,0,0,0,,
2020-05-12,8,8,3,1,2,0,0,0,0,,
2020-05-13,8,7,2,1,2,0,0,0,0,,
2020-05-14,9,7,3,1,2,0,0,0,0,,
2020-05-15,8,7,4,1,2,0,0,0,0,,
2020-05-16,6,7,2,1,2,0,0,0,0,,
2020-05-17,6,7,2,1,2,0,0,0,0,,
2020-05-18,6,5,2,1,2,0,0,0,0,,
2020-05-19,6,4,2,1,2,0,0,0,0,,
2020-05-20,6,4,2,1,2,0,0,0,0,,
2020-05-21,5,4,3,2,2,0,0,0,0,,
2020-05-22,6,4,3,1,2,0,0,0,0,,
2020-05-23,6,3,2,1,2,0,0,0,0,,
2020-05-24,5,3,2,1,2,0,0,0,0,,
2020-05-25,5,3,2,1,2,0,0,0,0,,
2020-05-26,4,3,2,1,2,0,0,0,0,,
2020-05-27,4,3,2,1,2,0,0,0,0,,
2020-05-28,3,3,2,1,2,0,0,0,0,,
2020-05-29,3,2,2,1,2,0,0,0,0,,
2020-05-30,3,2,2,1,2,0,0,0,0,,
2020-05-31,4,2,2,1,2,0,0,0,0,,
2020-06-01,5,2,2,1,2,0,0,0,0,,
2020-06-02,4,2,2,1,2,0,0,0,0,,
2020-06-03,4,1,0,1,2,0,0,0,0,,
2020-06-04,5,1,0,1,2,0,0,0,0,,
2020-06-05,5,1,0,3,2,0,0,0,0,,
2020-06-06,6,1,1,4,2,0,0,0,0,,
2020-06-07,6,1,1,4,2,0,0,0,0,,
2020-06-08,6,1,1,4,2,0,0,0,0,,
2020-06-09,6,3,2,5,2,0,0,0,0,,
2020-06-10,5,5,3,6,1,0,0,0,0,,
2020-06-11,5,5,4,5,1,0,0,0,0,,
2020-06-12,4,4,4,5,1,0,0,0,0,,
2020-06-13,4,5,5,6,2,0,0,0,0,,
2020-06-14,4,5,6,5,2,0,0,0,0,,
2020-06-15,3,4,6,5,2,0,0,0,0,,
2020-06-16,3,5,9,5,2,0,0,0,0,,
2020-06-17,2,6,10,5,2,0,0,0,0,,
2020-06-18,2,8,10,5,2,0,0,0,0,,
2020-06-19,4,9,13,5,2,0,0,0,0,,
2020-06-20,4,9,13,5,2,0,0,0,0,,
2020-06-21,5,9,13,5,2,0,0,0,0,,
2020-06-22,6,8,13,5,2,0,0,0,0,,
2020-06-23,6,11,13,4,1,2,0,0,0,,
2020-06-24,7,12,11,5,1,2,0,0,0,,
2020-06-25,8,11,10,5,1,2,0,0,0,,
2020-06-26,8,12,8,5,1,1,0,0,0,,
2020-06-27,8,11,6,5,0,0,0,0,0,,
2020-06-28,9,11,6,6,0,0,0,0,0,,
2020-06-29,9,11,6,6,0,0,0,0,0,,
2020-06-30,8,10,8,6,0,0,0,0,0,,
2020-07-01,9,11,7,6,0,0,0,0,0,,
2020-07-02,10,11,5,7,0,1,0,0,0,,
2020-07-03,10,11,6,7,0,0,0,0,0,,
2020-07-04,8,11,4,7,0,0,0,0,0,,
2020-07-05,8,11,4,9,0,0,0,0,0,,
2020-07-06,8,11,4,9,0,0,0,0,0,,
2020-07-07,10,11,6,9,0,0,0,0,0,,
2020-07-08,9,10,5,7,0,0,0,0,0,,
2020-07-09,7,9,4,6,0,0,0,0,0,,
2020-07-10,4,8,4,6,0,0,0,0,0,,
2020-07-11,3,7,4,6,0,0,0,0,0,,
2020-07-12,3,7,4,5,0,0,0,0,0,,
2020-07-13,3,8,4,5,0,0,0,0,0,,
2020-07-14,2,8,2,5,0,0,0,0,0,,
2020-07-15,3,8,1,5,0,0,0,0,0,,
2020-07-16,4,6,2,4,0,0,0,0,0,,
2020-07-17,3,7,3,3,0,0,0,0,0,,
2020-07-18,3,10,4,1,1,0,0,0,0,,
2020-07-19,3,10,4,1,1,0,0,0,0,,
2020-07-20,2,10,5,1,1,0,0,0,0,,
2020-07-21,3,11,5,1,1,0,0,0,0,,
2020-07-22,2,11,5,2,1,0,0,0,0,,
2020-07-23,2,9,6,0,1,0,0,0,0,,
2020-07-24,3,8,4,0,1,0,0,0,0,,
2020-07-25,3,8,4,0,0,0,0,0,0,,
2020-07-26,3,8,4,0,0,0,0,0,0,,
2020-07-27,3,7,4,0,0,0,0,0,0,,
2020-07-28,3,5,3,1,0,0,0,0,0,,
2020-07-29,3,4,3,2,0,0,0,0,0,,
2020-07-30,2,5,4,2,0,0,0,0,0,,
2020-07-31,2,5,3,2,0,0,0,0,0,,
2020-08-01,3,4,4,2,0,0,0,0,0,,
2020-08-02,3,4,4,2,0,0,0,0,0,,
2020-08-03,3,4,4,2,0,0,0,0,0,,
2020-08-04,3,5,4,1,0,0,0,0,0,,
2020-08-05,3,6,4,1,0,0,0,0,0,,
2020-08-06,4,6,6,2,0,0,0,0,0,,
2020-08-07,3,6,6,3,0,0,0,0,0,,
2020-08-08,2,6,6,3,0,0,0,0,0,,
2020-08-09,2,5,6,3,0,0,0,0,0,,
2020-08-10,2,5,6,3,0,0,0,0,0,,
2020-08-11,2,5,5,3,0,0,0,0,0,,
2020-08-12,2,5,5,2,1,0,0,0,0,,
2020-08-13,2,5,5,2,1,0,0,0,0,,
2020-08-14,2,6,5,0,1,0,0,0,0,,
2020-08-15,2,6,5,0,1,0,0,0,0,,
2020-08-16,2,6,4,0,1,0,0,0,0,,
2020-08-17,2,6,4,0,1,0,0,0,0,,
2020-08-18,2,6,4,0,1,0,0,0,0,,
2020-08-19,2,4,6,0,0,0,0,0,0,,
2020-08-20,1,5,6,0,0,0,0,0,0,,
2020-08-21,1,5,10,1,1,0,0,0,0,,
2020-08-22,2,6,13,2,1,1,0,0,0,,
2020-08-23,3,7,15,3,1,1,0,0,0,,
2020-08-24,4,8,15,3,1,1,0,0,0,,
2020-08-25,5,11,16,4,2,0,0,0,0,,
2020-08-26,5,15,15,5,3,0,0,0,0,,
2020-08-27,6,15,16,6,3,0,0,0,0,,
2020-08-28,11,21,16,7,3,0,0,0,0,,
2020-08-29,13,24,17,7,3,0,0,0,0,,
2020-08-30,15,29,16,7,3,0,0,0,0,,
2020-08-31,16,33,18,8,4,0,0,0,0,,
2020-09-01,22,44,20,13,5,0,0,0,0,,
2020-09-02,29,52,24,12,7,0,0,0,0,,
2020-09-03,37,63,31,14,9,0,0,0,0,,
2020-09-04,37,67,30,14,9,0,0,0,0,,
2020-09-05,37,66,32,15,9,0,0,0,0,,
2020-09-06,42,66,31,15,9,0,0,0,0,,
2020-09-07,41,65,32,15,9,0,0,0,0,,
2020-09-08,36,61,32,14,8,0,0,0,0,,
2020-09-09,37,62,34,13,8,0,0,0,0,,
2020-09-10,39,67,38,16,8,1,0,0,0,,
2020-09-11,42,74,37,15,6,1,0,0,0,,
2020-09-12,38,67,39,14,5,1,0,0,0,,
2020-09-13,36,63,38,14,5,1,0,0,0,,
2020-09-14,36,61,40,14,5,1,0,0,0,,
2020-09-15,32,61,44,14,6,1,0,0,0,,
2020-09-16,31,62,46,14,6,1,0,0,0,,
2020-09-17,27,65,46,15,6,1,0,0,0,,
2020-09-18,26,64,42,12,5,1,0,0,0,,
2020-09-19,23,64,47,12,5,1,0,0,0,,
2020-09-20,21,62,46,11,5,1,0,0,0,,
2020-09-21,20,60,47,10,3,1,0,0,0,,
2020-09-22,21,61,47,11,3,1,0,0,0,,
2020-09-23,22,62,41,10,3,1,0,0,0,,
2020-09-24,23,53,37,8,4,1,0,0,0,,
2020-09-25,24,53,38,7,5,1,0,0,0,,
2020-09-26,22,51,36,7,5,1,0,0,0,,
2020-09-27,20,52,40,7,4,1,0,0,0,,
2020-09-28,20,50,39,6,4,1,0,0,0,,
2020-09-29,22,47,36,6,3,1,0,0,0,,
2020-09-30,21,42,35,7,3,1,0,0,0,,
2020-10-01,22,41,33,6,3,1,1,0,0,,
2020-10-02,21,41,34,6,3,1,1,0,0,,
2020-10-03,19,39,34,7,3,1,1,0,0,,
2020-10-04,19,39,33,9,3,1,1,0,0,,
2020-10-05,21,39,33,9,3,1,1,0,0,,
2020-10-06,23,41,29,8,4,0,0,0,0,,
2020-10-07,26,39,27,7,3,0,0,0,0,,
2020-10-08,24,36,27,7,3,0,0,0,0,,
2020-10-09,22,35,27,7,3,0,0,0,0,,
2020-10-10,19,33,27,7,3,0,0,0,0,,
2020-10-11,17,34,28,7,3,0,0,0,0,,
2020-10-12,17,34,27,6,3,0,0,0,0,,
2020-10-13,18,35,31,3,4,0,0,0,0,,
2020-10-14,16,32,29,3,4,1,0,0,0,,
2020-10-15,13,33,29,4,3,0,0,0,0,,
2020-10-16,15,33,30,4,3,0,0,0,0,,
2020-10-17,16,32,29,4,3,0,0,0,0,,
2020-10-18,16,29,25,4,3,0,0,0,0,,
2020-10-19,16,29,25,5,3,0,0,0,0,,
2020-10-20,15,27,22,4,3,0,0,0,0,,
2020-10-21,13,28,22,3,4,0,0,0,0,,
2020-10-22,12,26,19,2,3,0,0,0,0,,
2020-10-23,13,27,16,3,3,0,0,0,0,,
2020-10-24,13,26,15,3,3,0,0,0,0,,
2020-10-25,12,22,13,3,3,0,0,0,0,,
2020-10-26,12,22,13,3,3,0,0,0,0,,
2020-10-27,12,22,12,3,3,0,0,0,0,,
2020-10-28,13,22,11,3,3,0,0,0,0,,
2020-10-29,15,21,10,3,4,0,0,0,0,,
2020-10-30,15,19,12,3,2,0,0,0,0,,
2020-10-31,15,21,12,4,2,0,0,0,0,,
2020-11-01,13,20,12,4,2,0,0,0,0,,
2020-11-02,11,20,12,4,2,0,0,0,0,,
2020-11-03,11,22,12,5,2,0,0,0,0,,
2020-11-04,12,22,13,4,2,0,0,0,0,,
2020-11-05,11,21,15,3,1,0,0,0,0,,
2020-11-06,11,23,12,3,1,0,0,0,0,,
2020-11-07,10,24,14,4,1,0,0,0,0,,
2020-11-08,12,26,14,4,2,0,0,0,0,,
2020-11-09,12,26,13,4,2,0,0,0,0,,
2020-11-10,9,25,13,5,2,0,0,0,0,,
2020-11-11,9,22,13,3,2,0,0,0,0,,
2020-11-12,9,25,14,3,2,0,0,0,0,,
2020-11-13,10,24,13,2,1,0,0,0,0,,
2020-11-14,10,27,13,3,1,0,0,0,0,,
2020-11-15,11,27,14,3,1,0,0,0,0,,
2020-11-16,10,27,14,3,1,0,0,0,0,,
2020-11-17,11,28,17,3,1,0,0,0,0,,
2020-11-18,14,28,20,3,2,0,0,0,0,,
2020-11-19,17,31,26,3,2,0,0,0,0,,
2020-11-20,17,32,28,4,3,0,0,0,0,,
2020-11-21,20,32,25,4,4,1,0,0,0,,
2020-11-22,21,31,26,4,4,1,0,0,0,,
2020-11-23,20,26,25,3,4,1,0,0,0,,
2020-11-24,18,27,26,3,3,2,0,0,0,,
2020-11-25,18,29,25,4,3,2,0,0,0,,
2020-11-26,19,29,19,5,3,2,1,0,0,,
2020-11-27,17,30,20,6,3,1,0,0,0,,
2020-11-28,16,27,23,8,3,1,0,0,0,,
2020-11-29,16,27,23,7,2,1,0,0,0,,
2020-11-30,15,26,24,8,2,1,0,0,0,,
2020-12-01,22,33,27,9,5,1,0,0,0,,
2020-12-02,24,33,28,10,5,1,0,0,0,,
2020-12-03,28,41,32,10,5,1,0,0,0,,
2020-12-04,26,41,32,13,4,0,0,0,0,,
2020-12-05,28,41,32,16,4,0,0,0,0,,
2020-12-06,28,42,34,16,5,0,0,0,0,,
2020-12-07,29,41,35,17,4,0,0,0,0,,
2020-12-08,32,46,33,18,4,1,0,0,0,,
2020-12-09,35,54,33,22,4,1,0,0,0,,
2020-12-10,38,66,38,26,3,1,0,0,0,,
2020-12-11,35,68,38,24,3,1,0,0,0,,
2020-12-12,38,66,45,27,3,0,0,0,0,,
2020-12-13,38,66,44,28,3,0,0,0,0,,
2020-12-14,39,69,46,27,3,1,0,0,0,,
2020-12-15,38,82,53,27,3,2,0,0,0,,
2020-12-16,41,92,60,28,3,2,0,0,0,,
2020-12-17,48,97,61,28,6,2,0,0,0,,
2020-12-18,51,93,66,29,4,2,1,0,0,,
2020-12-19,56,106,74,30,5,3,1,0,0,,
2020-12-20,56,107,76,31,5,3,0,0,0,,
2020-12-21,56,106,74,29,6,3,0,0,0,,
2020-12-22,61,112,76,26,4,2,0,0,0,,
2020-12-23,61,111,80,26,4,2,0,0,0,,
2020-12-24,65,111,80,28,5,2,0,0,0,,
2020-12-25,66,126,84,33,1,1,0,0,0,,
2020-12-26,59,119,86,33,1,1,0,0,0,,
2020-12-27,58,114,85,33,2,1,0,0,0,,
2020-12-28,60,115,83,34,2,1,0,0,0,,
2020-12-29,70,124,94,35,5,1,1,0,0,,
2020-12-30,78,119,93,34,7,0,1,0,0,,
2020-12-31,83,127,94,32,7,0,1,0,0,,
2021-01-01,81,138,96,30,8,0,1,0,0,,
2021-01-02,84,139,99,31,7,0,1,0,0,,
2021-01-03,85,135,97,31,7,0,0,0,0,,
2021-01-04,83,133,97,30,8,0,0,0,0,,
2021-01-05,90,145,114,28,6,3,0,0,0,,
2021-01-06,95,160,115,32,6,3,0,0,0,,
2021-01-07,93,153,112,31,6,4,1,0,0,,
2021-01-08,89,154,120,29,7,4,1,0,0,,
2021-01-09,93,150,123,30,7,5,1,0,0,,
2021-01-10,92,151,119,29,5,4,1,0,0,,
2021-01-11,95,148,113,27,7,4,1,0,0,,
2021-01-12,91,144,110,31,7,6,1,0,0,,
2021-01-13,81,143,105,30,8,6,1,0,0,,
2021-01-14,88,142,107,31,8,3,1,0,0,,
2021-01-15,90,145,103,24,7,4,1,0,0,,
2021-01-16,81,145,97,26,7,3,1,0,0,,
2021-01-17,81,139,94,27,7,3,1,0,0,,
2021-01-18,75,137,94,26,7,3,1,0,0,,
2021-01-19,68,135,96,25,6,3,2,0,0,,
2021-01-20,64,127,95,25,7,3,2,0,0,,
2021-01-21,70,121,90,23,7,4,2,0,0,,
2021-01-22,68,118,83,21,5,2,2,0,0,,
2021-01-23,67,119,81,21,4,3,2,0,0,,
2021-01-24,61,113,79,19,5,3,2,0,0,,
2021-01-25,59,109,78,18,6,3,2,0,0,,
2021-01-26,60,105,78,17,5,3,2,0,0,,
2021-01-27,64,106,74,17,5,2,2,0,0,,
2021-01-28,60,100,69,15,4,2,1,0,0,,
2021-01-29,62,96,61,13,4,3,0,0,0,,
2021-01-30,56,93,61,14,4,3,0,0,0,,
2021-01-31,56,91,60,14,3,5,0,0,0,,
2021-02-01,54,90,60,13,3,5,0,0,0,,
2021-02-02,55,93,56,14,1,5,0,0,0,,
2021-02-03,54,93,53,14,1,5,0,0,0,,
2021-02-04,48,90,51,14,3,5,0,0,0,,
2021-02-05,45,88,47,12,3,5,0,0,0,,
2021-02-06,43,83,52,11,4,4,0,0,0,,
2021-02-07,43,83,52,11,4,4,0,0,0,,
2021-02-08,40,79,50,11,4,4,0,0,0,,
2021-02-09,42,74,52,12,4,5,0,0,0,,
2021-02-10,41,73,52,12,3,3,0,0,0,,
2021-02-11,34,65,56,12,1,2,0,0,0,,
2021-02-12,30,63,51,12,2,3,0,0,0,,
2021-02-13,31,60,52,10,2,2,0,0,0,,
2021-02-14,30,59,52,11,2,2,0,0,0,,
2021-02-15,30,57,53,12,2,2,0,0,0,,
2021-02-16,34,59,56,13,3,1,0,0,0,,
2021-02-17,35,61,56,13,3,1,0,0,0,,
2021-02-18,33,59,53,13,3,0,0,0,0,,
2021-02-19,31,56,51,12,3,0,0,0,0,,
2021-02-20,32,56,50,15,3,0,0,0,0,,
2021-02-21,31,58,48,15,3,0,0,0,0,,
2021-02-22,29,53,48,14,2,0,0,0,0,,
2021-02-23,32,55,45,14,1,1,0,0,0,,
2021-02-24,33,49,43,14,0,1,0,0,0,,
2021-02-25,34,54,39,15,1,1,0,0,0,,
2021-02-26,36,52,37,17,1,1,0,0,0,,
2021-02-27,35,50,38,16,1,1,0,0,0,,
2021-02-28,35,35,35,35,35,35,35,35,35,,
2021-03-01,49,49,49,49,49,49,49,49,49,,
2021-03-02,35,35,35,35,35,35,35,35,35,,
2021-03-03,14,14,14,14,14,14,14,14,14,,
2021-03-04,1,1,1,1,1,1,1,1,1,,
2021-03-05,1,1,1,1,1,1,1,1,1,,
2021-03-06,0,0,0,0,0,0,0,0,0,,
2021-03-07,0,0,0,0,0,0,0,0,0,,
2021-03-08,0,0,0,0,0,0,0,0,0,,
2021-03-09,27,45,36,17,0,3,0,0,0,,
2021-03-10,27,41,36,16,0,3,0,0,0,,
2021-03-11,25,47,34,18,0,3,0,0,0,,
2021-03-12,25,46,33,18,1,3,0,0,0,,
2021-03-13,23,45,30,11,1,2,0,0,0,,
2021-03-14,21,42,30,9,1,2,0,0,0,,
2021-03-15,18,41,28,9,1,2,0,0,0,,
2021-03-16,20,41,31,9,0,2,0,0,0,,
2021-03-17,22,37,31,8,1,1,0,0,0,,
2021-03-18,20,38,31,10,0,1,0,0,0,,
2021-03-19,21,40,31,8,0,1,0,0,0,,
2021-03-20,22,38,35,6,0,1,0,0,0,,
2021-03-21,22,38,36,6,1,1,0,0,0,,
2021-03-22,20,39,35,7,1,1,0,0,0,,
2021-03-23,24,35,33,6,2,1,0,0,0,,
2021-03-24,29,38,34,6,3,1,0,0,0,,
2021-03-25,29,37,36,5,3,1,0,0,0,,
